#1:t_esc(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:a	#7:e	#8:t_mgr(gyr)	#9:dyn	#10:BS	#11:BB	#12:prev_partners_1	#13:prev_partners_2	#14:last_binint_type	#15:last_bininit_time	#16:model
0.705846  22.752182  25.380549  117296.0  486823.0  0.350968  0.698973  17.417263  1.0  2.0  1.0  1.0  1.0  1.0  0.705846  5e5-z0.001-1
0.715112  26.954611  18.239751  370995.0  450860.0  0.202744  0.891923  0.82141  1.0  2.0  0.0  8.0  0.0  1.0  0.715112  5e5-z0.001-1
0.822935  26.19321  25.78001  288974.0  788240.0  0.412868  0.951532  0.910226  1.0  2.0  1.0  10.0  1.0  1.0  0.822935  5e5-z0.001-1
0.826306  25.385179  24.861932  152016.0  153736.0  0.957551  0.469571  3486.66963  1.0  4.0  0.0  4.0  6.0  1.0  0.826306  5e5-z0.001-1
0.903409  18.140337  29.071311  149227.0  693031.0  0.51883  0.809101  24.496913  1.0  1.0  1.0  0.0  4.0  2.0  0.903409  5e5-z0.001-1
0.920538  23.761827  27.519307  215014.0  479976.0  1.749818  0.813323  2119.655997  1.0  2.0  0.0  8.0  0.0  1.0  0.920538  5e5-z0.001-1
1.077716  24.609408  24.343512  366434.0  386824.0  0.287977  0.619083  14.717024  1.0  1.0  1.0  2.0  1.0  2.0  1.077716  5e5-z0.001-1
1.118313  25.379383  20.959504  214550.0  254768.0  1.034649  0.883513  83.401881  1.0  1.0  0.0  2.0  2.0  1.0  1.118313  5e5-z0.001-1
1.249724  21.209818  19.02047  161843.0  310023.0  0.755771  0.893933  27.732663  1.0  1.0  0.0  0.0  4.0  1.0  1.249724  5e5-z0.001-1
1.257889  23.697224  21.241349  457480.0  935587.0  0.663073  0.918615  6.100643  1.0  6.0  4.0  2.0  2.0  1.0  1.257889  5e5-z0.001-1
1.268831  20.611328  18.49611  85152.0  420382.0  0.452565  0.744071  55.502523  1.0  6.0  2.0  1.0  0.0  1.0  1.268831  5e5-z0.001-1
1.448948  18.692519  25.262074  112358.0  306871.0  0.730206  0.596791  925.678938  1.0  1.0  0.0  0.0  7.0  1.0  1.448948  5e5-z0.001-1
1.506183  23.758675  23.679191  5801.0  321796.0  0.406874  0.805925  10.254439  1.0  1.0  0.0  3.0  2.0  1.0  1.506183  5e5-z0.001-1
1.610707  13.40506  18.121761  452542.0  510324.0  0.419357  0.689873  135.969567  1.0  1.0  0.0  1.0  0.0  1.0  1.610707  5e5-z0.001-1
1.6306  25.24884  20.209173  296154.0  361817.0  1.044375  0.719719  1284.82312  1.0  3.0  0.0  8.0  0.0  1.0  1.6306  5e5-z0.001-1
1.801192  18.4501  17.573428  283896.0  433445.0  0.907319  0.861402  178.489806  1.0  1.0  0.0  0.0  3.0  1.0  1.801192  5e5-z0.001-1
1.878798  19.144587  17.584822  5388.0  94412.0  0.19825  0.181017  37.386824  1.0  2.0  1.0  1.0  1.0  1.0  1.878798  5e5-z0.001-1
2.003041  15.689561  21.746181  95948.0  376877.0  0.303227  0.416258  109.149271  1.0  1.0  0.0  0.0  9.0  1.0  2.003041  5e5-z0.001-1
2.093224  18.719234  24.472559  646931.0  801599.0  1.801622  0.339097  109877.286683  1.0  1.0  0.0  0.0  10.0  1.0  2.093224  5e5-z0.001-1
2.263913  18.646204  18.736597  371114.0  536460.0  1.247134  0.946236  29.682186  1.0  1.0  0.0  1.0  5.0  1.0  2.263913  5e5-z0.001-1
2.271932  18.019597  19.098501  356055.0  373990.0  1.405049  0.85423  1088.385124  1.0  3.0  0.0  0.0  9.0  1.0  2.271932  5e5-z0.001-1
2.554088  18.035804  18.657298  249398.0  284076.0  0.111003  0.819331  2.638501  1.0  1.0  0.0  2.0  1.0  1.0  2.554088  5e5-z0.001-1
2.777102  17.601534  19.982068  152214.0  414202.0  1.753245  0.96657  24.914468  1.0  1.0  0.0  5.0  1.0  1.0  2.777102  5e5-z0.001-1
2.808303  25.13574  18.447187  39081.0  215849.0  0.537637  0.848028  19.544637  1.0  7.0  1.0  12.0  4.0  1.0  2.808303  5e5-z0.001-1
2.946226  22.425955  19.032623  95858.0  462436.0  1.541566  0.95709  25.499138  1.0  12.0  0.0  10.0  1.0  1.0  2.946226  5e5-z0.001-1
3.060429  20.41885  18.319989  227943.0  820560.0  1.311924  0.900345  224.110618  1.0  1.0  0.0  4.0  0.0  1.0  3.060429  5e5-z0.001-1
3.11618  20.958927  18.094629  305379.0  488059.0  0.778671  0.879079  52.511733  1.0  0.0  1.0  5.0  4.0  2.0  3.11618  5e5-z0.001-1
3.339146  19.346877  13.61541  175279.0  359075.0  1.272641  0.806333  2560.857321  1.0  1.0  0.0  1.0  0.0  1.0  3.339147  5e5-z0.001-1
3.578491  21.894225  18.339741  246335.0  484365.0  0.657591  0.538634  1099.926287  1.0  2.0  0.0  9.0  0.0  1.0  3.578491  5e5-z0.001-1
3.698864  19.435259  17.736795  43545.0  442874.0  0.658521  0.849994  60.771058  1.0  0.0  1.0  6.0  4.0  2.0  3.698864  5e5-z0.001-1
3.827486  20.563221  20.331347  636639.0  794416.0  1.904337  0.898274  891.660727  1.0  4.0  0.0  8.0  6.0  1.0  3.827486  5e5-z0.001-1
4.249126  18.836699  19.655371  6278.0  96793.0  0.659465  0.948467  5.959485  1.0  0.0  1.0  4.0  8.0  2.0  4.249126  5e5-z0.001-1
4.594316  17.713223  18.410879  178965.0  343100.0  1.185081  0.954408  19.036521  1.0  3.0  0.0  6.0  1.0  1.0  4.594316  5e5-z0.001-1
5.004699  16.757431  18.314138  384446.0  531891.0  1.957163  0.898313  1576.484154  1.0  9.0  0.0  0.0  4.0  1.0  5.004699  5e5-z0.001-1
5.238728  17.552389  18.560034  101710.0  111430.0  1.207522  0.861838  550.21897  1.0  4.0  0.0  6.0  3.0  1.0  5.238728  5e5-z0.001-1
5.251312  18.534217  20.506031  509939.0  587829.0  0.880778  0.938373  14.616541  1.0  2.0  0.0  3.0  16.0  1.0  5.251312  5e5-z0.001-1
5.482934  13.601993  16.586511  327271.0  434491.0  2.507559  0.410033  960625.228501  1.0  1.0  0.0  3.0  0.0  1.0  5.482934  5e5-z0.001-1
5.764627  15.08713  19.093478  198788.0  404886.0  0.903112  0.972298  6.884666  1.0  1.0  0.0  2.0  9.0  1.0  5.764627  5e5-z0.001-1
6.426339  17.942906  17.676257  256059.0  360834.0  0.913635  0.874559  144.099988  1.0  1.0  0.0  3.0  6.0  1.0  6.426339  5e5-z0.001-1
6.853732  17.618927  7.912979  136666.0  889484.0  0.60904  0.955737  9.878918  1.0  3.0  0.0  9.0  1.0  1.0  6.853732  5e5-z0.001-1
7.059146  13.237175  16.955727  74443.0  277574.0  1.106305  0.547158  20007.978277  1.0  3.0  0.0  4.0  0.0  1.0  7.059146  5e5-z0.001-1
7.353258  19.348437  15.90193  441702.0  464520.0  2.193172  0.784149  24970.3489  1.0  1.0  0.0  6.0  2.0  1.0  7.353258  5e5-z0.001-1
8.137598  16.092254  19.26362  345574.0  456543.0  2.327182  0.494213  315605.55964  1.0  1.0  0.0  6.0  10.0  1.0  8.137598  5e5-z0.001-1
8.442885  13.460587  18.541738  236316.0  627258.0  1.919224  0.737167  35363.92876  1.0  4.0  0.0  2.0  2.0  1.0  8.442885  5e5-z0.001-1
10.768164  15.401126  16.136797  231675.0  549190.0  1.037074  0.679789  5377.531893  1.0  3.0  4.0  12.0  9.0  1.0  10.768164  5e5-z0.001-1
11.543873  15.562997  18.282156  29934.0  497452.0  0.746565  0.812019  261.20653  1.0  14.0  5.0  4.0  9.0  1.0  11.543873  5e5-z0.001-1
0.010714  6.704768  11.690073  459804.0  522661.0  0.090847  0.113127  14.474792  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5e5-z0.001-2
0.012327  8.375437  8.209839  220931.0  532948.0  0.023055  0.401513  0.054546  0.0  1.0  0.0  0.0  0.0  1.0  0.004889  5e5-z0.001-2
0.030169  30.361214  31.797568  451370.0  511751.0  0.182975  0.518798  1.988893  0.0  1.0  0.0  0.0  0.0  1.0  0.030169  5e5-z0.001-2
0.051256  54.125446  41.90022  565042.0  741257.0  0.404858  0.745612  2.387964  1.0  10.0  0.0  2.0  1.0  1.0  0.051256  5e5-z0.001-2
0.05844  51.552681  57.75958  549034.0  595764.0  0.616335  0.945483  0.127115  1.0  9.0  1.0  4.0  1.0  1.0  0.05844  5e5-z0.001-2
0.062814  52.642292  48.673689  578088.0  614463.0  0.201241  0.999548  0.062814  1.0  1.0  0.0  1.0  1.0  1.0  0.062814  5e5-z0.001-2
0.070415  44.420978  44.552005  207393.0  637235.0  1.509593  0.742146  581.002629  1.0  7.0  0.0  0.0  1.0  1.0  0.070415  5e5-z0.001-2
0.07736  53.838888  34.71059  14522.0  122608.0  1.233414  0.416437  2262.633433  1.0  1.0  0.0  5.0  0.0  1.0  0.07736  5e5-z0.001-2
0.103508  24.515584  47.720337  83537.0  575871.0  1.056806  0.484734  1817.006117  1.0  1.0  0.0  0.0  4.0  1.0  0.103508  5e5-z0.001-2
0.105925  54.323847  54.222406  427798.0  645806.0  0.965622  0.934919  0.855306  1.0  8.0  1.0  2.0  8.0  1.0  0.105925  5e5-z0.001-2
0.121213  22.422338  25.312429  232484.0  363543.0  0.390892  0.622014  49.228023  1.0  4.0  0.0  0.0  1.0  1.0  0.121213  5e5-z0.001-2
0.123472  54.162529  52.565268  351986.0  731839.0  0.397784  0.888578  0.250274  1.0  0.0  1.0  7.0  6.0  2.0  0.123472  5e5-z0.001-2
0.167488  53.854777  53.657244  491972.0  610864.0  0.146054  0.554992  0.294414  1.0  3.0  1.0  8.0  6.0  1.0  0.167488  5e5-z0.001-2
0.18462  41.995313  48.851507  188839.0  230154.0  0.626721  0.985381  0.186225  1.0  5.0  1.0  4.0  2.0  2.0  0.18462  5e5-z0.001-2
0.218151  45.716876  35.431263  429004.0  458459.0  0.34095  0.615974  6.326769  1.0  1.0  0.0  3.0  0.0  1.0  0.218151  5e5-z0.001-2
