#1:t(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:dyn	#7:BS	#8:BB	#9:prev_partners_1	#10:prev_partners_2	#11:a	#12:e	#13:model
0.033359  23.3403  32.1579  616307.0  1054958.0  1.0  1.0  0.0  1.0  0.0  2.01832  0.021636  1e6-z0.0002-rg20
0.034736  22.7163  33.7817  914182.0  1012636.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  1e6-z0.0002-rg20
0.114053  8.66641  14.0332  245496.0  1037187.0  1.0  1.0  0.0  10.0  0.0  1.68755  0.144903  1e6-z0.0002-rg20
0.484728  6.8635  13.4722  615961.0  1091606.0  1.0  1.0  1.0  5.0  0.0  0.03094  0.034872  1e6-z0.0002-rg20
0.013764  23.6132  20.1681  2001737.0  2239175.0  1.0  1.0  0.0  3.0  4.0  0.0  0.0  2e6-z0.0002-rg20
0.014703  20.4786  24.1775  964376.0  2081378.0  0.0  0.0  0.0  13.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.014721  21.0447  23.3426  431869.0  2083861.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.018939  22.3425  25.3067  51716.0  2017238.0  1.0  3.0  1.0  5.0  0.0  0.025193  0.03948  2e6-z0.0002-rg20
0.025204  23.3638  27.9229  657529.0  2083179.0  0.0  0.0  0.0  7.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.027219  8.19594  11.0255  1677811.0  2182461.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.027997  8.10273  12.0185  514938.0  2057664.0  1.0  1.0  0.0  3.0  0.0  2.47619  0.017257  2e6-z0.0002-rg20
0.028615  23.9464  28.8666  1987064.0  2008941.0  0.0  0.0  0.0  6.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.031292  8.42796  10.82  1320383.0  2062009.0  1.0  2.0  0.0  1.0  0.0  1.84303  0.017867  2e6-z0.0002-rg20
0.060261  7.47754  7.71946  109409.0  2020527.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e6-z0.0002-rg20
0.080414  8.97429  9.65067  1112742.0  2129485.0  1.0  5.0  0.0  1.0  0.0  8.11446  0.768687  2e6-z0.0002-rg20
0.197303  7.78635  8.23271  1972000.0  2110437.0  1.0  0.0  1.0  3.0  0.0  0.036015  0.564329  2e6-z0.0002-rg20
0.251169  7.50463  15.326  1506843.0  2015978.0  1.0  1.0  0.0  6.0  0.0  1.65466  0.224358  2e6-z0.0002-rg20
0.009911  18.2326  27.1522  424104.0  522329.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  5e5-z0.0002-rg20
0.011426  17.1923  23.251  233383.0  540238.0  0.0  0.0  0.0  4.0  0.0  0.0  0.0  5e5-z0.0002-rg20
0.017071  19.7604  27.3466  293794.0  530583.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  5e5-z0.0002-rg20
0.017076  21.7563  24.2816  17285.0  504306.0  1.0  2.0  1.0  3.0  0.0  1.86195  0.018685  5e5-z0.0002-rg20
0.0212  21.3893  28.2543  270020.0  521795.0  1.0  1.0  0.0  1.0  0.0  0.372775  0.017801  5e5-z0.0002-rg20
0.024969  16.3731  22.0667  411874.0  536774.0  1.0  1.0  0.0  3.0  0.0  2.07196  0.007993  5e5-z0.0002-rg20
0.057596  11.2859  14.7764  493095.0  537380.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.0002-rg20
0.011189  15.2063  24.0769  990741.0  1027618.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.011238  17.3152  21.8046  481998.0  1072882.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.011313  16.8328  22.4459  958917.0  1042845.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.011397  15.1188  23.1648  125633.0  1094600.0  1.0  1.0  0.0  0.0  0.0  2.06452  0.019692  1e6-z0.0002-rg20-1
0.011517  15.1772  22.6031  317726.0  1019012.0  1.0  1.0  0.0  1.0  0.0  2.0366  0.035116  1e6-z0.0002-rg20-1
0.013798  19.8446  22.6855  153035.0  1059145.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.018145  19.8175  24.256  951271.0  1245411.0  1.0  1.0  0.0  6.0  0.0  1.95241  0.064097  1e6-z0.0002-rg20-1
0.021707  20.6179  29.6591  61426.0  1022624.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.027183  9.99912  11.2763  361975.0  1099547.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.03531  23.4116  32.8984  616307.0  1054958.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.036293  22.8891  34.2055  914182.0  1012636.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.106788  14.4099  21.5387  259179.0  1088955.0  1.0  3.0  0.0  3.0  0.0  0.027994  0.088762  1e6-z0.0002-rg20-1
0.191978  6.80558  13.4416  615961.0  1091606.0  1.0  1.0  0.0  0.0  0.0  0.026449  0.048794  1e6-z0.0002-rg20-1
0.555029  10.7866  9.52475  692553.0  1002927.0  0.0  10.0  2.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20-1
0.02501  21.3014  31.0923  114619.0  213421.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  2e5-z0.0002-rg20-1
0.059386  6.40533  13.4269  2975.0  206236.0  1.0  0.0  1.0  0.0  0.0  0.011774  0.026995  2e5-z0.0002-rg20-1
0.010402  40.3645  25.726  2204145.0  2423688.0  1.0  4.0  1.0  0.0  3.0  0.0  0.0  2e6-z0.0002-rg20-1
0.010566  16.8564  25.1733  958917.0  2049982.0  1.0  2.0  0.0  1.0  0.0  2.01971  0.098867  2e6-z0.0002-rg20-1
0.01095  15.8426  23.6602  1553053.0  2096588.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.011601  18.28  21.4981  30558.0  2155687.0  1.0  1.0  3.0  2.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.012381  15.0903  24.9999  2115680.0  2552191.0  1.0  5.0  0.0  3.0  0.0  2.4535  0.031895  2e6-z0.0002-rg20-1
0.013192  18.005  25.1154  566003.0  2146677.0  1.0  2.0  0.0  1.0  0.0  1.94117  0.030424  2e6-z0.0002-rg20-1
0.013506  19.9664  22.5025  26327.0  2099565.0  1.0  3.0  0.0  7.0  0.0  1.92909  0.029937  2e6-z0.0002-rg20-1
0.014355  19.4739  24.1252  1969790.0  2029084.0  0.0  0.0  0.0  7.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.014414  19.3115  24.3525  1153234.0  2000204.0  1.0  2.0  1.0  3.0  0.0  0.024731  0.0  2e6-z0.0002-rg20-1
0.014451  15.5374  23.5011  843286.0  2089098.0  1.0  3.0  0.0  4.0  0.0  2.31966  0.015831  2e6-z0.0002-rg20-1
0.0151  20.1053  24.3928  1645542.0  2142914.0  1.0  1.0  0.0  1.0  0.0  1.94536  0.02532  2e6-z0.0002-rg20-1
0.017958  20.9439  26.1705  431869.0  2083861.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.018222  22.0056  24.8899  302089.0  2141842.0  1.0  3.0  0.0  3.0  0.0  1.82607  0.039022  2e6-z0.0002-rg20-1
0.018553  20.1721  27.7904  1075588.0  2001737.0  1.0  3.0  0.0  0.0  0.0  0.024287  0.03091  2e6-z0.0002-rg20-1
0.018977  20.4664  27.7495  964376.0  2081378.0  0.0  0.0  0.0  10.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.019986  20.0146  25.0001  2043335.0  2226632.0  1.0  16.0  2.0  4.0  0.0  3.29769  0.37569  2e6-z0.0002-rg20-1
0.022307  22.8667  26.9073  1327466.0  2065560.0  1.0  3.0  0.0  14.0  0.0  1.95856  0.019346  2e6-z0.0002-rg20-1
0.025366  22.454  28.9873  2250475.0  2313546.0  1.0  1.0  2.0  4.0  0.0  0.324648  0.102322  2e6-z0.0002-rg20-1
0.028208  23.3076  29.7133  657529.0  2083179.0  1.0  1.0  1.0  8.0  0.0  0.026403  0.032032  2e6-z0.0002-rg20-1
0.033486  23.8786  31.323  1987064.0  2008941.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.036616  25.3303  30.6406  1143774.0  2090940.0  1.0  3.0  1.0  3.0  0.0  2.25612  0.043263  2e6-z0.0002-rg20-1
0.037727  8.73157  13.8708  58319.0  2090283.0  1.0  2.0  0.0  4.0  0.0  0.319488  0.161439  2e6-z0.0002-rg20-1
0.040149  6.8695  13.6535  615961.0  2142337.0  1.0  1.0  0.0  4.0  0.0  1.6421  0.317883  2e6-z0.0002-rg20-1
0.045306  6.98237  20.7208  2142289.0  2371725.0  1.0  2.0  1.0  5.0  0.0  2.07022  0.368961  2e6-z0.0002-rg20-1
0.046501  15.8436  22.6441  1184894.0  2043548.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2e6-z0.0002-rg20-1
0.046911  9.29793  9.13796  709592.0  2051267.0  0.0  0.0  0.0  0.0  7.0  0.0  0.0  2e6-z0.0002-rg20-1
0.070754  25.343  33.4919  1018820.0  2009805.0  1.0  1.0  1.0  2.0  0.0  0.032186  0.195057  2e6-z0.0002-rg20-1
0.101774  23.6455  26.1204  226068.0  1797071.0  1.0  1.0  0.0  1.0  1.0  0.034349  0.650756  2e6-z0.0002-rg20-1
